code,name,market,is_kosdaq150
0001A0,덕양에너젠,KOSDAQ,False
000250,삼천당제약,KOSDAQ,False
000440,중앙에너비스,KOSDAQ,False
0004V0,엔비알모션,KOSDAQ,False
0004Y0,디비금융제14호스팩,KOSDAQ,False
0007C0,아크릴,KOSDAQ,False
0007J0,인벤테라,KOSDAQ,False
0008Z0,에스엔시스,KOSDAQ,False
0009K0,에임드바이오,KOSDAQ,False
001000,신라섬유,KOSDAQ,False
0010F0,보원케미칼,KOSDAQ,False
0010V0,제이피아이헬스케어,KOSDAQ,False
0011A0,액스비스,KOSDAQ,False
0011T0,채비,KOSDAQ,False
0013V0,삼진식품,KOSDAQ,False
001540,안국약품,KOSDAQ,False
0015G0,그린광학,KOSDAQ,False
0015N0,아로마티카,KOSDAQ,False
0015S0,페스카로,KOSDAQ,False
0017J0,세미티에스,KOSDAQ,False
001810,무림SP,KOSDAQ,False
001840,이화공영,KOSDAQ,False
002230,피에스텍,KOSDAQ,False
002290,삼일기업공사,KOSDAQ,False
002680,한탑,KOSDAQ,False
002800,신신제약,KOSDAQ,False
003100,선광,KOSDAQ,False
003310,대주산업,KOSDAQ,False
003380,하림지주,KOSDAQ,False
0037T0,KB제32호스팩,KOSDAQ,False
003800,에이스침대,KOSDAQ,False
0041B0,교보18호스팩,KOSDAQ,False
0041J0,엘에스스팩1호,KOSDAQ,False
0041L0,하나35호스팩,KOSDAQ,False
0044K0,삼성스팩10호,KOSDAQ,False
004590,한국가구,KOSDAQ,False
004650,창해에탄올,KOSDAQ,False
004780,대륙제관,KOSDAQ,False
005160,동국산업,KOSDAQ,False
005290,동진쎄미켐,KOSDAQ,False
0054V0,엔에이치스팩32호,KOSDAQ,False
005670,푸드웰,KOSDAQ,False
005710,대원산업,KOSDAQ,False
005860,한일사료,KOSDAQ,False
005990,매일홀딩스,KOSDAQ,False
006050,국영지앤엠,KOSDAQ,False
006140,피제이전자,KOSDAQ,False
006620,동구바이오제약,KOSDAQ,False
006730,서부T&D,KOSDAQ,False
0068Y0,비엔케이제3호스팩,KOSDAQ,False
006910,보성파워텍,KOSDAQ,False
006920,모헨즈,KOSDAQ,False
0071M0,삼성스팩11호,KOSDAQ,False
0072Z0,KB제33호스팩,KOSDAQ,False
007330,푸른저축은행,KOSDAQ,False
007370,진양제약,KOSDAQ,False
007390,네이처셀,KOSDAQ,False
007530,와이엠,KOSDAQ,False
007680,대원,KOSDAQ,False
007720,소노스퀘어,KOSDAQ,False
007770,한일화학,KOSDAQ,False
007820,엠엑스로보틱스,KOSDAQ,False
008290,원풍물산,KOSDAQ,False
0082N0,카나프테라퓨틱스,KOSDAQ,False
008370,원풍,KOSDAQ,False
008470,부스타,KOSDAQ,False
008830,대동기어,KOSDAQ,False
0088D0,메리츠제1호스팩,KOSDAQ,False
0088M0,메쥬,KOSDAQ,False
0091W0,신영스팩11호,KOSDAQ,False
009300,삼아제약,KOSDAQ,False
0093G0,미래에셋비전스팩8호,KOSDAQ,False
009520,포스코엠텍,KOSDAQ,False
009620,삼보산업,KOSDAQ,False
0096B0,삼성스팩12호,KOSDAQ,False
0096D0,미래에셋비전스팩9호,KOSDAQ,False
009730,이렘,KOSDAQ,False
009780,엠에스씨,KOSDAQ,False
0097F0,미래에셋비전스팩10호,KOSDAQ,False
0098T0,교보19호스팩,KOSDAQ,False
0099W0,미래에셋비전스팩11호,KOSDAQ,False
0099X0,IBKS제25호스팩,KOSDAQ,False
010170,대한광통신,KOSDAQ,False
0101C0,하나36호스팩,KOSDAQ,False
010240,흥국,KOSDAQ,False
010280,아이티센엔텍,KOSDAQ,False
010470,오리콤,KOSDAQ,False
0105P0,유진스팩12호,KOSDAQ,False
011040,경동제약,KOSDAQ,False
011080,형지I&C,KOSDAQ,False
011320,유니크,KOSDAQ,False
011370,서한,KOSDAQ,False
011560,세보엠이씨,KOSDAQ,False
0115H0,삼성스팩13호,KOSDAQ,False
0117P0,피스피스스튜디오,KOSDAQ,False
012210,삼미금속,KOSDAQ,False
012340,뉴인텍,KOSDAQ,False
012620,원일특강,KOSDAQ,False
012700,리드코프,KOSDAQ,False
012790,신일제약,KOSDAQ,False
012860,모베이스전자,KOSDAQ,False
0129K0,신한제18호스팩,KOSDAQ,False
013030,하이록코리아,KOSDAQ,False
0130D0,신한제17호스팩,KOSDAQ,False
0130H0,엔에이치스팩33호,KOSDAQ,False
013120,동원개발,KOSDAQ,False
0131D0,키움히어로제2호스팩,KOSDAQ,False
0132G0,교보20호스팩,KOSDAQ,False
013310,아진산업,KOSDAQ,False
0134X0,대신밸런스제20호스팩,KOSDAQ,False
013720,THE CUBE&,KOSDAQ,False
013810,스페코,KOSDAQ,False
013990,아가방컴퍼니,KOSDAQ,False
014100,메디앙스,KOSDAQ,False
014190,원익큐브,KOSDAQ,False
014470,부방,KOSDAQ,False
014570,고려제약,KOSDAQ,False
014620,성광벤드,KOSDAQ,False
014940,오리엔탈정공,KOSDAQ,False
014950,삼익제약,KOSDAQ,False
014970,삼륭물산,KOSDAQ,False
015710,코콤,KOSDAQ,False
015750,성우하이텍,KOSDAQ,False
016100,리더스코스메틱,KOSDAQ,False
016250,SGC E&C,KOSDAQ,False
0165X0,메리츠제2호스팩,KOSDAQ,False
016600,큐캐피탈,KOSDAQ,False
016670,디모아,KOSDAQ,False
016790,현대사료,KOSDAQ,False
016920,카스,KOSDAQ,False
017000,신원종합개발,KOSDAQ,False
017250,인터엠,KOSDAQ,False
017480,삼현철강,KOSDAQ,False
017510,세명전기,KOSDAQ,False
017650,대림제지,KOSDAQ,False
017890,한국알콜,KOSDAQ,False
018000,유니슨,KOSDAQ,False
018120,진로발효,KOSDAQ,False
018290,브이티,KOSDAQ,False
018310,삼목에스폼,KOSDAQ,False
018620,우진비앤지,KOSDAQ,False
018680,서울제약,KOSDAQ,False
018700,졸스,KOSDAQ,False
019010,베뉴지,KOSDAQ,False
019210,와이지-원,KOSDAQ,False
019540,일지테크,KOSDAQ,False
019550,SBI인베스트먼트,KOSDAQ,False
019570,플루토스,KOSDAQ,False
019660,글로본,KOSDAQ,False
019770,서연탑메탈,KOSDAQ,False
019990,에너토크,KOSDAQ,False
020180,대신정보통신,KOSDAQ,False
020400,대동금속,KOSDAQ,False
020710,시공테크,KOSDAQ,False
021040,대호특수강,KOSDAQ,False
021080,에이티넘인베스트,KOSDAQ,False
021320,KCC건설,KOSDAQ,False
021650,한국큐빅,KOSDAQ,False
021880,메이슨캐피탈,KOSDAQ,False
022220,티케이지애강,KOSDAQ,False
023160,태광,KOSDAQ,False
023410,유진기업,KOSDAQ,False
