symbol,name,market_code,market_segment,asset_class,currency,tick_size,lot_size,is_active,name_kr,exchange_code,metadata_market_segment,metadata_segment,metadata_universe_segment,metadata_index_memberships,metadata_kospi_kosdaq_cls_name,metadata_mrkt_trtm_cls_name,source_file
0001A0,덕양에너젠,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,덕양에너젠,KRX,KOSDAQ,,,,,,kosdaq_master.csv
000250,삼천당제약,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,삼천당제약,KRX,KOSDAQ,,,,,,kosdaq_master.csv
000440,중앙에너비스,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,중앙에너비스,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0004V0,엔비알모션,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,엔비알모션,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0004Y0,디비금융제14호스팩,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,디비금융제14호스팩,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0007C0,아크릴,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,아크릴,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0007J0,인벤테라,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,인벤테라,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0008Z0,에스엔시스,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,에스엔시스,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0009K0,에임드바이오,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,에임드바이오,KRX,KOSDAQ,,,,,,kosdaq_master.csv
001000,신라섬유,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,신라섬유,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0010F0,보원케미칼,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,보원케미칼,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0010V0,제이피아이헬스케어,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,제이피아이헬스케어,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0011A0,액스비스,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,액스비스,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0011T0,채비,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,채비,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0013V0,삼진식품,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,삼진식품,KRX,KOSDAQ,,,,,,kosdaq_master.csv
001540,안국약품,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,안국약품,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0015G0,그린광학,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,그린광학,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0015N0,아로마티카,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,아로마티카,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0015S0,페스카로,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,페스카로,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0017J0,세미티에스,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,세미티에스,KRX,KOSDAQ,,,,,,kosdaq_master.csv
001810,무림SP,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,무림SP,KRX,KOSDAQ,,,,,,kosdaq_master.csv
001840,이화공영,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,이화공영,KRX,KOSDAQ,,,,,,kosdaq_master.csv
002230,피에스텍,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,피에스텍,KRX,KOSDAQ,,,,,,kosdaq_master.csv
002290,삼일기업공사,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,삼일기업공사,KRX,KOSDAQ,,,,,,kosdaq_master.csv
002680,한탑,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,한탑,KRX,KOSDAQ,,,,,,kosdaq_master.csv
002800,신신제약,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,신신제약,KRX,KOSDAQ,,,,,,kosdaq_master.csv
003100,선광,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,선광,KRX,KOSDAQ,,,,,,kosdaq_master.csv
003310,대주산업,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,대주산업,KRX,KOSDAQ,,,,,,kosdaq_master.csv
003380,하림지주,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,하림지주,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0037T0,KB제32호스팩,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,KB제32호스팩,KRX,KOSDAQ,,,,,,kosdaq_master.csv
003800,에이스침대,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,에이스침대,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0041B0,교보18호스팩,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,교보18호스팩,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0041J0,엘에스스팩1호,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,엘에스스팩1호,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0041L0,하나35호스팩,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,하나35호스팩,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0044K0,삼성스팩10호,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,삼성스팩10호,KRX,KOSDAQ,,,,,,kosdaq_master.csv
004590,한국가구,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,한국가구,KRX,KOSDAQ,,,,,,kosdaq_master.csv
004650,창해에탄올,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,창해에탄올,KRX,KOSDAQ,,,,,,kosdaq_master.csv
004780,대륙제관,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,대륙제관,KRX,KOSDAQ,,,,,,kosdaq_master.csv
005160,동국산업,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,동국산업,KRX,KOSDAQ,,,,,,kosdaq_master.csv
005290,동진쎄미켐,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,동진쎄미켐,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0054V0,엔에이치스팩32호,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,엔에이치스팩32호,KRX,KOSDAQ,,,,,,kosdaq_master.csv
005670,푸드웰,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,푸드웰,KRX,KOSDAQ,,,,,,kosdaq_master.csv
005710,대원산업,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,대원산업,KRX,KOSDAQ,,,,,,kosdaq_master.csv
005860,한일사료,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,한일사료,KRX,KOSDAQ,,,,,,kosdaq_master.csv
005990,매일홀딩스,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,매일홀딩스,KRX,KOSDAQ,,,,,,kosdaq_master.csv
006050,국영지앤엠,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,국영지앤엠,KRX,KOSDAQ,,,,,,kosdaq_master.csv
006140,피제이전자,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,피제이전자,KRX,KOSDAQ,,,,,,kosdaq_master.csv
006620,동구바이오제약,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,동구바이오제약,KRX,KOSDAQ,,,,,,kosdaq_master.csv
006730,서부T&D,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,서부T&D,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0068Y0,비엔케이제3호스팩,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,비엔케이제3호스팩,KRX,KOSDAQ,,,,,,kosdaq_master.csv
006910,보성파워텍,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,보성파워텍,KRX,KOSDAQ,,,,,,kosdaq_master.csv
006920,모헨즈,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,모헨즈,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0071M0,삼성스팩11호,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,삼성스팩11호,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0072Z0,KB제33호스팩,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,KB제33호스팩,KRX,KOSDAQ,,,,,,kosdaq_master.csv
007330,푸른저축은행,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,푸른저축은행,KRX,KOSDAQ,,,,,,kosdaq_master.csv
007370,진양제약,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,진양제약,KRX,KOSDAQ,,,,,,kosdaq_master.csv
007390,네이처셀,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,네이처셀,KRX,KOSDAQ,,,,,,kosdaq_master.csv
007530,와이엠,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,와이엠,KRX,KOSDAQ,,,,,,kosdaq_master.csv
007680,대원,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,대원,KRX,KOSDAQ,,,,,,kosdaq_master.csv
007720,소노스퀘어,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,소노스퀘어,KRX,KOSDAQ,,,,,,kosdaq_master.csv
007770,한일화학,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,한일화학,KRX,KOSDAQ,,,,,,kosdaq_master.csv
007820,엠엑스로보틱스,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,엠엑스로보틱스,KRX,KOSDAQ,,,,,,kosdaq_master.csv
008290,원풍물산,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,원풍물산,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0082N0,카나프테라퓨틱스,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,카나프테라퓨틱스,KRX,KOSDAQ,,,,,,kosdaq_master.csv
008370,원풍,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,원풍,KRX,KOSDAQ,,,,,,kosdaq_master.csv
008470,부스타,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,부스타,KRX,KOSDAQ,,,,,,kosdaq_master.csv
008830,대동기어,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,대동기어,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0088D0,메리츠제1호스팩,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,메리츠제1호스팩,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0088M0,메쥬,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,메쥬,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0091W0,신영스팩11호,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,신영스팩11호,KRX,KOSDAQ,,,,,,kosdaq_master.csv
009300,삼아제약,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,삼아제약,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0093G0,미래에셋비전스팩8호,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,미래에셋비전스팩8호,KRX,KOSDAQ,,,,,,kosdaq_master.csv
009520,포스코엠텍,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,포스코엠텍,KRX,KOSDAQ,,,,,,kosdaq_master.csv
009620,삼보산업,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,삼보산업,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0096B0,삼성스팩12호,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,삼성스팩12호,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0096D0,미래에셋비전스팩9호,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,미래에셋비전스팩9호,KRX,KOSDAQ,,,,,,kosdaq_master.csv
009730,이렘,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,이렘,KRX,KOSDAQ,,,,,,kosdaq_master.csv
009780,엠에스씨,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,엠에스씨,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0097F0,미래에셋비전스팩10호,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,미래에셋비전스팩10호,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0098T0,교보19호스팩,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,교보19호스팩,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0099W0,미래에셋비전스팩11호,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,미래에셋비전스팩11호,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0099X0,IBKS제25호스팩,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,IBKS제25호스팩,KRX,KOSDAQ,,,,,,kosdaq_master.csv
010170,대한광통신,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,대한광통신,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0101C0,하나36호스팩,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,하나36호스팩,KRX,KOSDAQ,,,,,,kosdaq_master.csv
010240,흥국,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,흥국,KRX,KOSDAQ,,,,,,kosdaq_master.csv
010280,아이티센엔텍,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,아이티센엔텍,KRX,KOSDAQ,,,,,,kosdaq_master.csv
010470,오리콤,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,오리콤,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0105P0,유진스팩12호,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,유진스팩12호,KRX,KOSDAQ,,,,,,kosdaq_master.csv
011040,경동제약,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,경동제약,KRX,KOSDAQ,,,,,,kosdaq_master.csv
011080,형지I&C,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,형지I&C,KRX,KOSDAQ,,,,,,kosdaq_master.csv
011320,유니크,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,유니크,KRX,KOSDAQ,,,,,,kosdaq_master.csv
011370,서한,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,서한,KRX,KOSDAQ,,,,,,kosdaq_master.csv
011560,세보엠이씨,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,세보엠이씨,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0115H0,삼성스팩13호,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,삼성스팩13호,KRX,KOSDAQ,,,,,,kosdaq_master.csv
0117P0,피스피스스튜디오,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,피스피스스튜디오,KRX,KOSDAQ,,,,,,kosdaq_master.csv
012210,삼미금속,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,삼미금속,KRX,KOSDAQ,,,,,,kosdaq_master.csv
012340,뉴인텍,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,뉴인텍,KRX,KOSDAQ,,,,,,kosdaq_master.csv
012620,원일특강,KOSDAQ,KOSDAQ,kr_stock,KRW,100,1,TRUE,원일특강,KRX,KOSDAQ,,,,,,kosdaq_master.csv
