symbol,membership_code
"196170","KOSDAQ150"
"247540","KOSDAQ150"
"086520","KOSDAQ150"
"277810","KOSDAQ150"
"036930","KOSDAQ150"
"240810","KOSDAQ150"
"028300","KOSDAQ150"
"058470","KOSDAQ150"
"039030","KOSDAQ150"
"000250","KOSDAQ150"
"141080","KOSDAQ150"
"298380","KOSDAQ150"
"087010","KOSDAQ150"
"319660","KOSDAQ150"
"222800","KOSDAQ150"
"347850","KOSDAQ150"
"403870","KOSDAQ150"
"095340","KOSDAQ150"
"080220","KOSDAQ150"
"214370","KOSDAQ150"
"108490","KOSDAQ150"
"084370","KOSDAQ150"
"310210","KOSDAQ150"
"178320","KOSDAQ150"
"145020","KOSDAQ150"
"214450","KOSDAQ150"
"067310","KOSDAQ150"
"319400","KOSDAQ150"
"095610","KOSDAQ150"
"214150","KOSDAQ150"
"005290","KOSDAQ150"
"226950","KOSDAQ150"
"064760","KOSDAQ150"
"131290","KOSDAQ150"
"031980","KOSDAQ150"
"357780","KOSDAQ150"
"237690","KOSDAQ150"
"290650","KOSDAQ150"
"263750","KOSDAQ150"
"131970","KOSDAQ150"
"043260","KOSDAQ150"
"257720","KOSDAQ150"
"089970","KOSDAQ150"
"032820","KOSDAQ150"
"098460","KOSDAQ150"
"183300","KOSDAQ150"
"089030","KOSDAQ150"
"420770","KOSDAQ150"
"082920","KOSDAQ150"
"068760","KOSDAQ150"
"035900","KOSDAQ150"
"083650","KOSDAQ150"
"058610","KOSDAQ150"
"218410","KOSDAQ150"
"007390","KOSDAQ150"
"030530","KOSDAQ150"
"140860","KOSDAQ150"
"0009K0","KOSDAQ150"
"041510","KOSDAQ150"
"078600","KOSDAQ150"
"039200","KOSDAQ150"
"096530","KOSDAQ150"
"323280","KOSDAQ150"
"060370","KOSDAQ150"
"204270","KOSDAQ150"
"437730","KOSDAQ150"
"475830","KOSDAQ150"
"101490","KOSDAQ150"
"166090","KOSDAQ150"
"003380","KOSDAQ150"
"195940","KOSDAQ150"
"085660","KOSDAQ150"
"232140","KOSDAQ150"
"090710","KOSDAQ150"
"417200","KOSDAQ150"
"100790","KOSDAQ150"
"036540","KOSDAQ150"
"099320","KOSDAQ150"
"065350","KOSDAQ150"
"281740","KOSDAQ150"
"038500","KOSDAQ150"
"090360","KOSDAQ150"
"032500","KOSDAQ150"
"161580","KOSDAQ150"
"137400","KOSDAQ150"
"074600","KOSDAQ150"
"056190","KOSDAQ150"
"388720","KOSDAQ150"
"328130","KOSDAQ150"
"189300","KOSDAQ150"
"466100","KOSDAQ150"
"213420","KOSDAQ150"
"036830","KOSDAQ150"
"122870","KOSDAQ150"
"048410","KOSDAQ150"
"014620","KOSDAQ150"
"033100","KOSDAQ150"
"445680","KOSDAQ150"
"358570","KOSDAQ150"
"293490","KOSDAQ150"
"035760","KOSDAQ150"
"241710","KOSDAQ150"
"222080","KOSDAQ150"
"050890","KOSDAQ150"
"032190","KOSDAQ150"
"121600","KOSDAQ150"
"295310","KOSDAQ150"
"253450","KOSDAQ150"
"006730","KOSDAQ150"
"348370","KOSDAQ150"
"171090","KOSDAQ150"
"052400","KOSDAQ150"
"124500","KOSDAQ150"
"056080","KOSDAQ150"
"053800","KOSDAQ150"
"009520","KOSDAQ150"
"225570","KOSDAQ150"
"036810","KOSDAQ150"
"033500","KOSDAQ150"
"060250","KOSDAQ150"
"067160","KOSDAQ150"
"399720","KOSDAQ150"
"112040","KOSDAQ150"
"253590","KOSDAQ150"
"082270","KOSDAQ150"
"015750","KOSDAQ150"
"376300","KOSDAQ150"
"278280","KOSDAQ150"
"272290","KOSDAQ150"
"030520","KOSDAQ150"
"348210","KOSDAQ150"
"214430","KOSDAQ150"
"211050","KOSDAQ150"
"025320","KOSDAQ150"
"251970","KOSDAQ150"
"042000","KOSDAQ150"
"018290","KOSDAQ150"
"025980","KOSDAQ150"
"215200","KOSDAQ150"
"041190","KOSDAQ150"
"060280","KOSDAQ150"
"036620","KOSDAQ150"
"095660","KOSDAQ150"
"069080","KOSDAQ150"
"125490","KOSDAQ150"
"025900","KOSDAQ150"
"352480","KOSDAQ150"
"078340","KOSDAQ150"
"101730","KOSDAQ150"
"194480","KOSDAQ150"
