symbol,membership_code,source_name,source_ref,as_of_date,note
005930,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
000660,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
402340,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
009150,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
005380,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
373220,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
207940,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
032830,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
105560,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
028260,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
000270,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
329180,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
012450,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
055550,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
068270,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
012330,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
034020,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
034730,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
086790,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
035420,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
006400,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
000810,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
010120,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
009540,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
066570,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
042660,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
005490,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
267260,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
316140,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
015760,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
298040,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
010130,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
138040,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
042700,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
011200,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
006800,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
033780,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
010140,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
000150,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
096770,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
051910,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
017670,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
035720,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
024110,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
018260,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
267250,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
079550,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
003550,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
086280,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
064350,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
010950,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
030200,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
047810,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
011070,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
003670,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
278470,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
272210,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
071050,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
259960,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
323410,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
005940,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
000720,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
005830,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
307950,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
003490,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
047050,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
016360,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
0126Z0,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
161390,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
028050,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
003230,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
443060,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
006260,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
078930,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
039490,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
180640,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
090430,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
352820,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
021240,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
326030,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
032640,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
000880,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
267270,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
000100,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
064400,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
377300,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
241560,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
007660,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
029780,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
036570,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
271560,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
175330,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
047040,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
034220,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
062040,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
009830,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
001440,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
138930,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
454910,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
051900,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
004170,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
111770,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
128940,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
088350,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
052690,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
000990,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
001040,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
002380,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
023530,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
010060,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
011790,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
018880,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
004020,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
383220,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
035250,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
036460,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
066970,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
082740,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
028670,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
251270,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
001450,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
011780,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
022100,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
097950,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
302440,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
026960,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
069960,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
081660,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
139130,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
000240,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
004370,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
005850,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
007340,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
008930,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
009970,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
011170,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
012750,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
017800,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
483650,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
282330,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
014680,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
450080,KOSPI100,krx_manual,local-upload,2026-07-31,검증완료
030000,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
051600,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
073240,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
103140,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
139480,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
161890,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
192820,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
204320,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
002790,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
004990,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
007070,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
009420,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
375500,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
000120,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
001800,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
006040,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
006280,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
007310,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
008770,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
011210,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
069620,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
071970,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
112610,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
120110,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
192080,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
298020,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
457190,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
000080,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
000210,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
361610,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
300720,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
280360,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
185750,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
137310,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
093370,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
071320,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
034230,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
017960,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
009240,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
005300,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
004000,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
003240,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
001430,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
003090,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
008730,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
006650,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
005420,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
069260,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
298050,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
268280,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
456040,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
003030,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
002840,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
002030,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
001680,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
285130,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
000670,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
014820,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
196170,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
