symbol,name,market_code,asset_class,currency,tick_size,lot_size
5930,삼성전자,KRX,kr_stock,KRW,100,1
660,SK하이닉스,KRX,kr_stock,KRW,100,1
5935,삼성전자우,KRX,kr_stock,KRW,100,1
402340,SK스퀘어,KRX,kr_stock,KRW,100,1
5380,현대차,KRX,kr_stock,KRW,100,1
373220,LG에너지솔루션,KRX,kr_stock,KRW,100,1
9150,삼성전기,KRX,kr_stock,KRW,100,1
34020,두산에너빌리티,KRX,kr_stock,KRW,100,1
28260,삼성물산,KRX,kr_stock,KRW,100,1
329180,HD현대중공업,KRX,kr_stock,KRW,100,1
270,기아,KRX,kr_stock,KRW,100,1
12450,한화에어로스페이스,KRX,kr_stock,KRW,100,1
207940,삼성바이오로직스,KRX,kr_stock,KRW,100,1
32830,삼성생명,KRX,kr_stock,KRW,100,1
12330,현대모비스,KRX,kr_stock,KRW,100,1
105560,KB금융,KRX,kr_stock,KRW,100,1
6400,삼성SDI,KRX,kr_stock,KRW,100,1
55550,신한지주,KRX,kr_stock,KRW,100,1
267260,HD현대일렉트릭,KRX,kr_stock,KRW,100,1
68270,셀트리온,KRX,kr_stock,KRW,100,1
10120,LS ELECTRIC,KRX,kr_stock,KRW,100,1
6800,미래에셋증권,KRX,kr_stock,KRW,100,1
34730,SK,KRX,kr_stock,KRW,100,1
42700,한미반도체,KRX,kr_stock,KRW,100,1
5490,POSCO홀딩스,KRX,kr_stock,KRW,100,1
298040,효성중공업,KRX,kr_stock,KRW,100,1
42660,한화오션,KRX,kr_stock,KRW,100,1
66570,LG전자,KRX,kr_stock,KRW,100,1
86790,하나금융지주,KRX,kr_stock,KRW,100,1
35420,NAVER,KRX,kr_stock,KRW,100,1
10130,고려아연,KRX,kr_stock,KRW,100,1
9540,HD한국조선해양,KRX,kr_stock,KRW,100,1
51910,LG화학,KRX,kr_stock,KRW,100,1
150,두산,KRX,kr_stock,KRW,100,1
10140,삼성중공업,KRX,kr_stock,KRW,100,1
15760,한국전력,KRX,kr_stock,KRW,100,1
810,삼성화재,KRX,kr_stock,KRW,100,1
316140,우리금융지주,KRX,kr_stock,KRW,100,1
64350,현대로템,KRX,kr_stock,KRW,100,1
3670,포스코퓨처엠,KRX,kr_stock,KRW,100,1
17670,SK텔레콤,KRX,kr_stock,KRW,100,1
267250,HD현대,KRX,kr_stock,KRW,100,1
272210,한화시스템,KRX,kr_stock,KRW,100,1
33780,KT&G,KRX,kr_stock,KRW,100,1
96770,SK이노베이션,KRX,kr_stock,KRW,100,1
35720,카카오,KRX,kr_stock,KRW,100,1
86280,현대글로비스,KRX,kr_stock,KRW,100,1
79550,LIG디펜스앤에어로스페이스,KRX,kr_stock,KRW,100,1
11200,HMM,KRX,kr_stock,KRW,100,1
307950,현대오토에버,KRX,kr_stock,KRW,100,1
720,현대건설,KRX,kr_stock,KRW,100,1
138040,메리츠금융지주,KRX,kr_stock,KRW,100,1
3550,LG,KRX,kr_stock,KRW,100,1
11070,LG이노텍,KRX,kr_stock,KRW,100,1
24110,기업은행,KRX,kr_stock,KRW,100,1
47810,한국항공우주,KRX,kr_stock,KRW,100,1
278470,에이피알,KRX,kr_stock,KRW,100,1
6260,LS,KRX,kr_stock,KRW,100,1
30200,KT,KRX,kr_stock,KRW,100,1
71050,한국금융지주,KRX,kr_stock,KRW,100,1
18260,삼성에스디에스,KRX,kr_stock,KRW,100,1
259960,크래프톤,KRX,kr_stock,KRW,100,1
47040,대우건설,KRX,kr_stock,KRW,100,1
47050,포스코인터내셔널,KRX,kr_stock,KRW,100,1
0126Z0,삼성에피스홀딩스,KRX,kr_stock,KRW,100,1
10950,S-Oil,KRX,kr_stock,KRW,100,1
5940,NH투자증권,KRX,kr_stock,KRW,100,1
1440,대한전선,KRX,kr_stock,KRW,100,1
16360,삼성증권,KRX,kr_stock,KRW,100,1
5830,DB손해보험,KRX,kr_stock,KRW,100,1
323410,카카오뱅크,KRX,kr_stock,KRW,100,1
39490,키움증권,KRX,kr_stock,KRW,100,1
3230,삼양식품,KRX,kr_stock,KRW,100,1
28050,삼성E&A,KRX,kr_stock,KRW,100,1
352820,하이브,KRX,kr_stock,KRW,100,1
880,한화,KRX,kr_stock,KRW,100,1
3490,대한항공,KRX,kr_stock,KRW,100,1
5387,현대차2우B,KRX,kr_stock,KRW,100,1
443060,HD현대마린솔루션,KRX,kr_stock,KRW,100,1
7660,이수페타시스,KRX,kr_stock,KRW,100,1
62040,산일전기,KRX,kr_stock,KRW,100,1
64400,LG씨엔에스,KRX,kr_stock,KRW,100,1
267270,HD건설기계,KRX,kr_stock,KRW,100,1
180640,한진칼,KRX,kr_stock,KRW,100,1
9830,한화솔루션,KRX,kr_stock,KRW,100,1
326030,SK바이오팜,KRX,kr_stock,KRW,100,1
990,DB하이텍,KRX,kr_stock,KRW,100,1
377300,카카오페이,KRX,kr_stock,KRW,100,1
34220,LG디스플레이,KRX,kr_stock,KRW,100,1
161390,한국타이어앤테크놀로지,KRX,kr_stock,KRW,100,1
90430,아모레퍼시픽,KRX,kr_stock,KRW,100,1
353200,대덕전자,KRX,kr_stock,KRW,100,1
32640,LG유플러스,KRX,kr_stock,KRW,100,1
100,유한양행,KRX,kr_stock,KRW,100,1
66970,엘앤에프,KRX,kr_stock,KRW,100,1
78930,GS,KRX,kr_stock,KRW,100,1
454910,두산로보틱스,KRX,kr_stock,KRW,100,1
241560,두산밥캣,KRX,kr_stock,KRW,100,1
21240,코웨이,KRX,kr_stock,KRW,100,1
10060,OCI홀딩스,KRX,kr_stock,KRW,100,1
5385,현대차우,KRX,kr_stock,KRW,100,1
500,가온전선,KRX,kr_stock,KRW,100,1
82740,한화엔진,KRX,kr_stock,KRW,100,1
103590,일진전기,KRX,kr_stock,KRW,100,1
1040,CJ,KRX,kr_stock,KRW,100,1
4020,현대제철,KRX,kr_stock,KRW,100,1
336260,두산퓨얼셀,KRX,kr_stock,KRW,100,1
36570,NC,KRX,kr_stock,KRW,100,1
52690,한전기술,KRX,kr_stock,KRW,100,1
29780,삼성카드,KRX,kr_stock,KRW,100,1
128940,한미약품,KRX,kr_stock,KRW,100,1
271560,오리온,KRX,kr_stock,KRW,100,1
11790,SKC,KRX,kr_stock,KRW,100,1
138930,BNK금융지주,KRX,kr_stock,KRW,100,1
22100,포스코DX,KRX,kr_stock,KRW,100,1
88980,맥쿼리인프라,KRX,kr_stock,KRW,100,1
18880,한온시스템,KRX,kr_stock,KRW,100,1
2380,KCC,KRX,kr_stock,KRW,100,1
4170,신세계,KRX,kr_stock,KRW,100,1
23530,롯데쇼핑,KRX,kr_stock,KRW,100,1
450080,에코프로머티,KRX,kr_stock,KRW,100,1
175330,JB금융지주,KRX,kr_stock,KRW,100,1
88350,한화생명,KRX,kr_stock,KRW,100,1
51900,LG생활건강,KRX,kr_stock,KRW,100,1
4800,효성,KRX,kr_stock,KRW,100,1
489790,한화비전,KRX,kr_stock,KRW,100,1
11170,롯데케미칼,KRX,kr_stock,KRW,100,1
14680,한솔케미칼,KRX,kr_stock,KRW,100,1
11780,금호석유화학,KRX,kr_stock,KRW,100,1
12510,더존비즈온,KRX,kr_stock,KRW,100,1
17800,현대엘리베이터,KRX,kr_stock,KRW,100,1
251270,넷마블,KRX,kr_stock,KRW,100,1
111770,영원무역,KRX,kr_stock,KRW,100,1
20150,롯데에너지머티리얼즈,KRX,kr_stock,KRW,100,1
36460,한국가스공사,KRX,kr_stock,KRW,100,1
35250,강원랜드,KRX,kr_stock,KRW,100,1
97950,CJ제일제당,KRX,kr_stock,KRW,100,1
302440,SK바이오사이언스,KRX,kr_stock,KRW,100,1
375500,DL이앤씨,KRX,kr_stock,KRW,100,1
