symbol,name,market_code,asset_class,currency,tick_size,lot_size,is_active
005930,삼성전자,KRX,kr_stock,KRW,100,1,TRUE
000660,SK하이닉스,KRX,kr_stock,KRW,100,1,TRUE
005935,삼성전자우,KRX,kr_stock,KRW,100,1,TRUE
402340,SK스퀘어,KRX,kr_stock,KRW,100,1,TRUE
005380,현대차,KRX,kr_stock,KRW,100,1,TRUE
373220,LG에너지솔루션,KRX,kr_stock,KRW,100,1,TRUE
009150,삼성전기,KRX,kr_stock,KRW,100,1,TRUE
034020,두산에너빌리티,KRX,kr_stock,KRW,100,1,TRUE
028260,삼성물산,KRX,kr_stock,KRW,100,1,TRUE
329180,HD현대중공업,KRX,kr_stock,KRW,100,1,TRUE
000270,기아,KRX,kr_stock,KRW,100,1,TRUE
012450,한화에어로스페이스,KRX,kr_stock,KRW,100,1,TRUE
207940,삼성바이오로직스,KRX,kr_stock,KRW,100,1,TRUE
032830,삼성생명,KRX,kr_stock,KRW,100,1,TRUE
012330,현대모비스,KRX,kr_stock,KRW,100,1,TRUE
105560,KB금융,KRX,kr_stock,KRW,100,1,TRUE
006400,삼성SDI,KRX,kr_stock,KRW,100,1,TRUE
055550,신한지주,KRX,kr_stock,KRW,100,1,TRUE
267260,HD현대일렉트릭,KRX,kr_stock,KRW,100,1,TRUE
068270,셀트리온,KRX,kr_stock,KRW,100,1,TRUE
010120,LS ELECTRIC,KRX,kr_stock,KRW,100,1,TRUE
006800,미래에셋증권,KRX,kr_stock,KRW,100,1,TRUE
034730,SK,KRX,kr_stock,KRW,100,1,TRUE
042700,한미반도체,KRX,kr_stock,KRW,100,1,TRUE
005490,POSCO홀딩스,KRX,kr_stock,KRW,100,1,TRUE
298040,효성중공업,KRX,kr_stock,KRW,100,1,TRUE
042660,한화오션,KRX,kr_stock,KRW,100,1,TRUE
066570,LG전자,KRX,kr_stock,KRW,100,1,TRUE
086790,하나금융지주,KRX,kr_stock,KRW,100,1,TRUE
035420,NAVER,KRX,kr_stock,KRW,100,1,TRUE
010130,고려아연,KRX,kr_stock,KRW,100,1,TRUE
009540,HD한국조선해양,KRX,kr_stock,KRW,100,1,TRUE
051910,LG화학,KRX,kr_stock,KRW,100,1,TRUE
000150,두산,KRX,kr_stock,KRW,100,1,TRUE
010140,삼성중공업,KRX,kr_stock,KRW,100,1,TRUE
015760,한국전력,KRX,kr_stock,KRW,100,1,TRUE
000810,삼성화재,KRX,kr_stock,KRW,100,1,TRUE
316140,우리금융지주,KRX,kr_stock,KRW,100,1,TRUE
064350,현대로템,KRX,kr_stock,KRW,100,1,TRUE
003670,포스코퓨처엠,KRX,kr_stock,KRW,100,1,TRUE
017670,SK텔레콤,KRX,kr_stock,KRW,100,1,TRUE
267250,HD현대,KRX,kr_stock,KRW,100,1,TRUE
272210,한화시스템,KRX,kr_stock,KRW,100,1,TRUE
033780,KT&G,KRX,kr_stock,KRW,100,1,TRUE
096770,SK이노베이션,KRX,kr_stock,KRW,100,1,TRUE
035720,카카오,KRX,kr_stock,KRW,100,1,TRUE
086280,현대글로비스,KRX,kr_stock,KRW,100,1,TRUE
079550,LIG디펜스앤에어로스페이스,KRX,kr_stock,KRW,100,1,TRUE
011200,HMM,KRX,kr_stock,KRW,100,1,TRUE
307950,현대오토에버,KRX,kr_stock,KRW,100,1,TRUE
000720,현대건설,KRX,kr_stock,KRW,100,1,TRUE
138040,메리츠금융지주,KRX,kr_stock,KRW,100,1,TRUE
003550,LG,KRX,kr_stock,KRW,100,1,TRUE
011070,LG이노텍,KRX,kr_stock,KRW,100,1,TRUE
024110,기업은행,KRX,kr_stock,KRW,100,1,TRUE
047810,한국항공우주,KRX,kr_stock,KRW,100,1,TRUE
278470,에이피알,KRX,kr_stock,KRW,100,1,TRUE
006260,LS,KRX,kr_stock,KRW,100,1,TRUE
030200,KT,KRX,kr_stock,KRW,100,1,TRUE
071050,한국금융지주,KRX,kr_stock,KRW,100,1,TRUE
018260,삼성에스디에스,KRX,kr_stock,KRW,100,1,TRUE
259960,크래프톤,KRX,kr_stock,KRW,100,1,TRUE
047040,대우건설,KRX,kr_stock,KRW,100,1,TRUE
047050,포스코인터내셔널,KRX,kr_stock,KRW,100,1,TRUE
0126Z0,삼성에피스홀딩스,KRX,kr_stock,KRW,100,1,TRUE
